learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,horizontal_flip,epochs
0.0027094445997771395,0.3696441295363709,0.5200333536138576,0.23942357850111273,0.21356754569101696,0.41449140264887413,0.0449259588058859,2.0,3.0,2.0,3.0,6.0,6.0,5.0,0.0,581.0
0.0018638566551521076,0.518959052857042,0.5200333536138576,0.09768989031650455,0.18964180550531146,0.4757594796544322,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,7.0,161.0,0.0,2112.0
0.0011069183393482348,0.2873589085333466,0.5436813498402054,0.06846732515796777,0.27457177528314225,0.49884697120748006,0.03218263878772007,2.0,1.0,2.0,4.0,5.0,6.0,5.0,0.0,1923.0
0.0018638566551521076,0.3696441295363709,0.5027746259730157,0.06846732515796777,0.07929912243043846,0.41449140264887413,0.07270939030847115,2.0,2.0,2.0,3.0,5.0,8.0,5.0,0.0,2317.0
0.0018638566551521076,0.3696441295363709,0.5200333536138576,0.06846732515796777,0.13055579903658082,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,6.0,5.0,0.0,1302.0
0.0018638566551521076,0.3696441295363709,0.43671322621011094,0.06846732515796777,0.1154608730985118,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,7.0,6.0,1.0,0.0,976.0
0.0018638566551521076,0.3696441295363709,0.5200333536138576,0.18832605664638724,0.048935319685441625,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,6.0,6.0,5.0,1.0,1180.0
0.0018638566551521076,0.3696441295363709,0.5148530892122113,0.06846732515796777,0.13055579903658082,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,6.0,6.0,5.0,0.0,1521.0
0.002575869772268419,0.3728210538016886,0.43705387880748037,0.0927727892136466,0.13055579903658082,0.41449140264887413,0.07602552218718686,3.0,2.0,2.0,3.0,5.0,6.0,56.0,0.0,641.0
0.0018638566551521076,0.3696441295363709,0.5200333536138576,0.06846732515796777,0.13055579903658082,0.2337268133409113,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,7.0,5.0,0.0,2127.0
0.002219718651339699,0.3696441295363709,0.6286721565652709,0.06846732515796777,0.13055579903658082,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,7.0,5.0,0.0,1084.0
0.0018638566551521076,0.3696441295363709,0.5200333536138576,0.08837655788267457,0.13055579903658082,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,6.0,110.0,0.0,1514.0
0.0018638566551521076,0.4163354479978578,0.49169450493267375,0.1639285359881267,0.13633421305125926,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,6.0,90.0,0.0,2099.0
0.002207738503256173,0.4209959853858201,0.5616373858052037,0.1339606990248548,0.13055579903658082,0.41449140264887413,0.03218263878772007,2.0,3.0,2.0,3.0,5.0,7.0,5.0,0.0,848.0
0.0018638566551521076,0.3696441295363709,0.5200333536138576,0.06846732515796777,0.14494794191942995,0.41449140264887413,0.03218263878772007,4.0,2.0,2.0,3.0,5.0,6.0,5.0,0.0,2071.0
0.0018638566551521076,0.3696441295363709,0.5038451863547949,0.06846732515796777,0.13055579903658082,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,6.0,103.0,0.0,1085.0
0.0018638566551521076,0.3696441295363709,0.49935701598563775,0.06846732515796777,0.19859837462873065,0.3592327338236124,0.14942945813397346,2.0,2.0,2.0,3.0,4.0,6.0,5.0,0.0,661.0
